Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Tinian International Airport;Tinian Intl;;;;;;;;;;;;
Pagan Airstrip;Pagan Airstrip;;;;;;;;;;;;
Rota International Airport;Rota Intl;;;;;;;;;;;;
Saipan International Airport;Saipan Intl;;;;;;;;;;;;
North West Field;North West Field;;;;;;;;;;;;
Olf Orote Airport;Olf Orote;;;;;;;;;;;;
Antonio B. Won Pat International Airport;Antonio B. Won Pat Intl;;;;;;;;;;;;
Andersen Airforce Base;Andersen AFB;;;;;;;;;;;;
