Text;File Name;Subtitle;Voice Name;Highpass;Lowpass;Nfilter;Volume Boost;Noise Boost;Emphasis;Rate;Pitch;Click In;Click Out
Tinian International Airport;Tinian Intl;;en-US-Studio-O;;;;;;;;;;
Pagan Airstrip;Pagan Airstrip;;en-US-Studio-O;;;;;;;;;;
Rota International Airport;Rota Intl;;en-US-Studio-O;;;;;;;;;;
Saipan International Airport;Saipan Intl;;en-US-Studio-O;;;;;;;;;;
North West Field;North West Field;;en-US-Studio-O;;;;;;;;;;
Olf Orote Airport;Olf Orote;;en-US-Studio-O;;;;;;;;;;
Antonio B. Won Pat International Airport;Antonio B. Won Pat Intl;;en-US-Studio-O;;;;;;;;;;
Andersen Airforce Base;Andersen AFB;;en-US-Studio-O;;;;;;;;;;
