text;filename;subtitle;voice;highpass;lowpass;nfilter;volume;noise;emphasis;rate;pitch;clickin;clickout;duration
Three;N-3;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.45
Four;N-4;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.48
Five;N-5;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.59
Six;N-6;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.61
Seven;N-7;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.54
Eight;N-8;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.45
Niner;N-9;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.51
nautical miles;NauticalMiles;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.22
none;None;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.43
outer NDB frequency;OuterNDBFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.85
PRMG channel;PRMGChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.4
"<say-as interpret-as=""characters"">QFE</say-as>";QFE;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.99
"<say-as interpret-as=""characters"">QNH</say-as>";QNH;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.19
rain;Rain;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.46
right;Right;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.48
RSBN channel;RSBNChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.43
runway length;RunwayLength;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.94
snow;Snow;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.54
statute miles;StatuteMiles;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.23
sunrise at;SunriseAt;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.04
sunset at;SunsetAt;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.02
"<phoneme alphabet=""ipa"" ph=""tæcæn"">TACAN</phoneme> channel";TACANChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.94
temperature;Temperature;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.75
thousand;Thousand;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.71
thunderstorm;ThunderStorm;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.86
local time;TimeLocal;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.9
zulu time;TimeZulu;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.9
tower frequency;TowerFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.13
visibility;Visibility;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.88
"<say-as interpret-as=""verbatim"">VOR</say-as> frequency";VORFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.49
weather phenomena;WeatherPhenomena;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.9
wind from;WindFrom;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.7
zulu;Zulu;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.58
